id,subset,key,smiles,formula,level,mwt,nH,nC,nCl,E,H,S,G,dE,dH,dS,dG,zpe,homo,lumo,gap,Mu,alpha,tMu,rotA,rotB,rotC
1-0001,pubchemPAH,AFVMDRFUJONSCM-UHFFFAOYSA-N,c1ccc2c(c1)cc1c(c2)cc2c(c1)ccc1c2ccc2c1cccc2,C26H16,xtb2,328.414,16,26,0,-63.847657566666,-63.50470192133,0.000217297702,-63.569489231058,10.9262276882,10.682414234824,0.001828992026,10.137100260832,0.323363948126,-9.5741,-7.9005,1.67361120368,0.025,267.744629,0.009 -0.004 -0.000,0.02807936,0.002828131,0.002569349
1-0001,pubchemPAH,AFVMDRFUJONSCM-UHFFFAOYSA-N,c1ccc2c(c1)cc1c(c2)cc2c(c1)ccc1c2ccc2c1cccc2,C26H16,r2scan,328.414,16,26,0,-1000.224980210599,-999.8745429914,0.0002105228,-999.9373103627,8.631014970671,8.3797179314,0.0019622688,7.7946673421,0.3314557782,-4.7526,-2.8904,1.8622,0.04513,381.44975,0.00454 -0.01717 -0.00000,0.02775,0.002809,0.002551
1-0001,pubchemPAH,AFVMDRFUJONSCM-UHFFFAOYSA-N,c1ccc2c(c1)cc1c(c2)cc2c(c1)ccc1c2ccc2c1cccc2,C26H16,d4tzvp,328.414,16,26,0,-1001.274257995748,-1000.9238207765,0.0002105228,-1000.9865881478,8.50070065595,8.2494036163,0.0019622688,7.6643530286,0.3314557782,-7.1101,-0.6224,6.4877,0.04092,360.48777,-0.00180 -0.01600 -0.00001,0.02775,0.002809,0.002551
1-0002,pubchemPAH,ANKRFBWKEPAECS-UHFFFAOYSA-N,c1ccc2c(c1)ccc1c2c2ccc3c4c2c(c1)ccc4ccc3,C24H14,xtb2,302.376,14,24,0,-58.563203231216,-58.254790702973,0.000199023557,-58.314129576548,10.015331623352,9.796619173549,0.001657983865,9.302291282994,0.291238244797,-9.7628,-7.6341,2.128713962483,0.1,245.099885,0.035 -0.017 -0.006,0.01918264,0.005696588,0.004474706
1-0002,pubchemPAH,ANKRFBWKEPAECS-UHFFFAOYSA-N,c1ccc2c(c1)ccc1c2c2ccc3c4c2c(c1)ccc4ccc3,C24H14,r2scan,302.376,14,24,0,-922.839824564321,-922.5242814684,0.0001929173,-922.5817997724,7.904834870299,7.6789900324,0.0017791581,7.148533921,0.2989992774,-5.0179,-2.5346,2.4833,0.07461,318.47855,0.02040 -0.01658 -0.01306,0.019111,0.00561,0.004408
1-0002,pubchemPAH,ANKRFBWKEPAECS-UHFFFAOYSA-N,c1ccc2c(c1)ccc1c2c2ccc3c4c2c(c1)ccc4ccc3,C24H14,d4tzvp,302.376,14,24,0,-923.804632818851,-923.489089723,0.0001929173,-923.546608027,7.786756449299,7.5609116112,0.0017791581,7.0304555012,0.2989992774,-7.375,-0.276,7.099,0.08225,305.91498,0.01581 -0.02666 -0.00930,0.019111,0.00561,0.004408
1-0003,pubchemPAH,ASPAORBBQBUBFL-UHFFFAOYSA-N,c1ccc2-c3c(-c2c1)cc1c(c3)c2c(cc1)ccc1c2cccc1,C24H14,xtb2,302.376,14,24,0,-58.478766570984,-58.171281895676,0.000205053417,-58.232418571849,9.93089496312,9.713110366252,0.001651954005,9.220580278295,0.289724348675,-9.8824,-7.3463,2.536146267741,0.146,242.281096,-0.054 0.010 -0.018,0.01701613,0.004968833,0.003923458
1-0003,pubchemPAH,ASPAORBBQBUBFL-UHFFFAOYSA-N,c1ccc2-c3c(-c2c1)cc1c(c3)c2c(cc1)ccc1c2cccc1,C24H14,r2scan,302.376,14,24,0,-922.744349217907,-922.4301813072,0.0001986458,-922.4894075638,7.809359523885,7.5848898712,0.0017734296,7.0561417124,0.2969714457,-5.099,-2.3143,2.7847,0.36456,323.16622,-0.13594 0.03003 -0.03449,0.016932,0.004872,0.003852
1-0003,pubchemPAH,ASPAORBBQBUBFL-UHFFFAOYSA-N,c1ccc2-c3c(-c2c1)cc1c(c3)c2c(cc1)ccc1c2cccc1,C24H14,d4tzvp,302.376,14,24,0,-923.712048550246,-923.3978806395,0.0001986458,-923.4571068961,7.694172180694,7.4697025277,0.0017734296,6.9409543703,0.2969714457,-7.6131,0.1311,7.7442,0.37283,305.37385,-0.14014 0.02277 -0.03681,0.016932,0.004872,0.003852
1-0004,pubchemPAH,AXSJLZJXXUBRBS-UHFFFAOYSA-N,c1ccc2c(c1)cc1c(c2)cc2c3c1ccc1c3c(cc2)ccc1,C24H14,xtb2,302.376,14,24,0,-58.563546278106,-58.255494263415,0.000200647379,-58.315317279503,10.015674670242,9.797322733991,0.001656360043,9.303478985949,0.290660993411,-9.5852,-7.8873,1.69787697089,0.037,245.132314,0.014 0.003 -0.000,0.02490152,0.004536328,0.003837287
