id,smiles,mwt,nH,nC,nCl,E_xtb2,H_xtb2,S_xtb2,G_xtb2,dE_xtb2,dH_xtb2,dS_xtb2,dG_xtb2,zpe_xtb2,homo_xtb2,lumo_xtb2,gap_xtb2,Mu_xtb2,alpha_xtb2,xMu_xtb2,yMu_xtb2,zMu_xtb2,rotA_xtb2,rotB_xtb2,rotC_xtb2,E_r2scan,H_r2scan,S_r2scan,G_r2scan,dE_r2scan,dH_r2scan,dS_r2scan,dG_r2scan,zpe_r2scan,homo_r2scan,lumo_r2scan,gap_r2scan,Mu_r2scan,alpha_r2scan,xMu_r2scan,yMu_r2scan,zMu_r2scan,rotA_r2scan,rotB_r2scan,rotC_r2scan,E_d4tzvp,H_d4tzvp,S_d4tzvp,G_d4tzvp,dE_d4tzvp,dH_d4tzvp,dS_d4tzvp,dG_d4tzvp,zpe_d4tzvp,homo_d4tzvp,lumo_d4tzvp,gap_d4tzvp,Mu_d4tzvp,alpha_d4tzvp,xMu_d4tzvp,yMu_d4tzvp,zMu_d4tzvp,rotA_d4tzvp,rotB_d4tzvp,rotC_d4tzvp
2-0166,c1c(Cl)cc2-c3c(-c2c1)cc(cc3)Cl,221.086,6,12,2,-37.797609583154,-37.650942708991,0.000164011321,-37.699842684358,4.952106273236,4.852649966673,0.000839739207,4.602281721558,0.134652077578,-10.3843,-7.8283,2.556024436835,0.0,146.567678,0.0,0.0,-0.0,0.07592196,0.007284335,0.006646624,-1381.079078433699,-1380.9297223907,0.0001614378,-1380.9778550815,3.880868695467,3.7787222619,0.0009020754,3.5097684009,0.137577001,-5.4507,-2.5954,2.8553,0.0,176.99223,-0.0,0.0,-0.0,0.07534,0.007176,0.006552,-1381.640716741746,-1381.4913606987,0.0001614378,-1381.5394933895,3.83219710515,3.7300506715,0.0009020754,3.4610968111,0.137577001,-8.1736,0.0488,8.2224,1e-05,169.91326,-0.0,-0.0,-0.0,0.07534,0.007176,0.006552
3-0411,Clc1ccc2c(c1)ccc1c2c2c(cc1)ccc1c2cccc1,312.799,13,22,1,-58.307021674466,-58.020045803218,0.000204890464,-58.081133895105,9.256700438307,9.054703588739,0.001562615098,8.588809896235,0.269253846428,-10.2113,-7.4618,2.749502483532,2.407,239.854371,-0.577,0.743,-0.11,0.01255116,0.006523832,0.004569142,-1306.195552333904,-1305.9017616331,0.0001976815,-1305.96070038,7.30827321165,7.0994598079,0.0016778933,6.5991957935,0.2767643262,-5.4815,-2.3355,3.146,2.20364,286.79217,-0.5521,0.65805,-0.11742,0.012474,0.006358,0.004476,-1307.124874423772,-1306.831083723,0.0001976815,-1306.8900224699,7.205344007546,6.9965306036,0.0016778933,6.4962665905,0.2767643262,-8.0427,0.1062,8.1489,2.25427,276.85188,-0.5506,0.68492,-0.11953,0.012474,0.006358,0.004476
4-0532,Clc1c(Cl)c(Cl)c2c(c1Cl)c(Cl)c1c(c2Cl)c2c(Cl)c(Cl)c(cc2c2c1c(Cl)c(Cl)c(c2Cl)Cl)Cl,726.139,1,22,13,-106.841308973502,-106.654111471725,0.000325230398,-106.751078914751,8.722479285043,8.620260804946,0.001645127916,8.129765915649,0.153223801879,-10.9464,-8.9996,1.946858907013,0.946,390.125306,-0.329,0.162,0.064,0.00260875,0.001730893,0.001118597,-6821.060219425512,-6820.8685602011,0.0003077342,-6820.960311167,6.772281070042,6.6655991423,0.0017707822,6.1376401585,0.1591088464,-5.9468,-3.7188,2.228,0.91101,486.40066,-0.31667,0.15888,0.05419,0.002588,0.001705,0.00112,-6822.425665033081,-6822.2340058087,0.0003077342,-6822.3257567746,6.738823069974,6.6321411429,0.0017707822,6.1041821592,0.1591088464,-8.5915,-1.4008,7.1907,0.89793,452.84555,-0.30303,0.16222,0.08156,0.002588,0.001705,0.00112
3-0146,Clc1ccc2-c3c4c(-c2c1)c1c2ccccc2ccc1cc4ccc3,336.821,13,24,1,-62.595534911331,-62.295584785495,0.000212074807,-62.358814889069,9.958620932442,9.748370885046,0.001661837011,9.252894178829,0.281212591551,-10.097,-8.0965,2.000487738382,2.587,257.103007,-0.061,-0.994,0.21,0.007944635,0.007415789,0.003960528,-1382.397137751839,-1382.0904091335,0.0002048712,-1382.1514914797,7.845426455049,7.6283960947,0.001784116,7.0964617598,0.2886150127,-5.3438,-3.0536,2.2902,2.41662,322.96244,-0.0373,-0.93285,0.17983,0.007886,0.007271,0.0039,-1383.398951395052,-1383.0922227768,0.0002048712,-1383.153305123,7.73379906326,7.5167687028,0.001784116,6.9848343692,0.2886150127,-7.8122,-0.7765,7.0357,2.38462,310.4885,-0.10685,-0.9153,0.17594,0.007886,0.007271,0.0039
3-0607,c1ccc2c(c1)c1-c3ccccc3-c3c1c(c2)c(Cl)c1c3cccc1,336.821,13,24,1,-62.588797149962,-62.28912157163,0.000215827662,-62.353470588994,9.951883171073,9.741907671181,0.001658084156,9.247549878754,0.280488505348,-9.7876,-8.4492,1.338415754718,0.972,257.231033,-0.115,0.365,-0.0,0.009355117,0.006720062,0.00391081,-1382.389823321839,-1382.0840279672,0.0002098755,-1382.1466023352,7.838112025049,7.6220149284,0.0017791117,7.0915726153,0.286964158,-4.9866,-3.4692,1.5174,0.67529,340.81045,-0.09907,0.24651,-5e-05,0.009241,0.006683,0.003878,-1383.388191810744,-1383.0823964561,0.0002098755,-1383.1449708241,7.723039478952,7.5069423821,0.0017791117,6.9765000703,0.286964158,-7.2817,-1.353,5.9287,0.77028,331.66176,-0.09984,0.28613,-4e-05,0.009241,0.006683,0.003878
3-0268,c1ccc2-c3c4c(-c2c1)c1ccc2c(c1cc4ccc3)cccc2Cl,336.821,13,24,1,-62.598565467213,-62.298567509385,0.000214735284,-62.362590834221,9.961651488324,9.751353608936,0.001659176534,9.256670123981,0.28095839838,-10.0876,-8.0843,2.003238779395,2.116,257.140941,-0.332,-0.764,0.001,0.01379367,0.004305891,0.00328152,-1382.401390405083,-1382.0953812235,0.000209727,-1382.1579113226,7.849679108293,7.6333681847,0.0017792602,7.1028816027,0.2873458745,-5.3517,-3.0475,2.3042,2.00938,332.05391,-0.25233,-0.74918,0.00063,0.013649,0.004266,0.00325,-1383.405049941539,-1383.0990407599,0.000209727,-1383.161570859,7.739897609747,7.5235866859,0.0017792602,6.9931001052,0.2873458745,-7.8016,-0.7546,7.047,2.03785,318.34981,-0.28761,-0.74837,0.00064,0.013649,0.004266,0.00325
3-0714,c1ccc2c(c1)c1cc(Cl)c3c4c1c(c2)ccc4cc1c3cccc1,336.821,13,24,1,-62.612707609159,-62.312507108235,0.000211243448,-62.375489342226,9.97579363027,9.765293207786,0.00166266837,9.269568631986,0.281481728887,-9.8183,-7.9259,1.892427379828,1.805,257.270557,-0.232,0.649,-0.171,0.01470143,0.00487632,0.003703916,-1382.415739209678,-1382.1090426702,0.0002051632,-1382.1702120637,7.864027912888,7.6470296314,0.001783824,7.1151823438,0.2885029699,-4.9991,-2.7457,2.2534,1.60611,347.6723,-0.21066,0.56219,-0.19707,0.014503,0.004831,0.003665,-1383.416193064564,-1383.1094965251002,0.0002051632,-1383.1706659186002,7.751040732772,7.5340424511,0.001783824,7.0021951648,0.2885029699,-7.3072,-0.5201,6.7871,1.68812,332.74794,-0.23768,0.58931,-0.19316,0.014503,0.004831,0.003665
3-0306,c1ccc2c(c1)cc1c(c2)c2c(cc1)cc1c(c2)cc2c(c1Cl)cccc2,362.859,15,26,1,-67.899847216759,-67.565119892715,0.000227252718,-67.63287529055,10.889374967268,10.653789835184,0.001835941406,10.106403903638,0.313854397383,-9.7788,-7.9968,1.781960206845,1.911,279.90478,0.42,0.624,-0.0,0.01563109,0.002706098,0.002306748,-1459.805615365222,-1459.4637177307,0.0002205354,-1459.5294703732,8.594928522526,8.3521710679,0.001969168,7.7650634841,0.3215997331,-4.9549,-2.9685,1.9864,1.85989,408.89997,0.39319,0.6171,-9e-05,0.015417,0.002685,0.002287,-1460.889513997936,-1460.5476163633998,0.0002205354,-1460.6133690058998,8.468680695898,8.225923241,0.001969168,7.6388156587,0.3215997331,-7.3591,-0.6914,6.6677,1.84898,379.43333,0.36544,0.62898,-8e-05,0.015417,0.002685,0.002287
3-0959,Clc1ccc2c(c1)ccc1c2c2cc3ccccc3cc2cc1,312.799,13,22,1,-58.306159652402,-58.019200884623,0.000205859234,-58.080577815384,9.255838416243,9.053858670144,0.001561646328,8.588253816514,0.269188065483,-9.9346,-7.7548,2.179753157135,2.362,239.843618,0.625,-0.688,0.005,0.01380181,0.004985439,0.00372464,-1306.197219088591,-1305.9035478554,0.000198872,-1305.9628415493,7.309939966337,7.1012460302,0.0016767028,6.6013369628,0.2765463721,-5.1286,-2.6974,2.4312,2.19483,305.59187,0.59005,-0.63032,0.01247,0.013825,0.004877,0.00366,-1307.124536204722,-1306.8308649715,0.000198872,-1306.8901586654,7.205005788496,6.9963118521,0.0016767028,6.496402786,0.2765463721,-7.6046,-0.3352,7.2694,2.2202,292.43574,0.58537,-0.64813,0.01518,0.013825,0.004877,0.00366
4-1335,Clc1c2c(c(Cl)c(c3c2c(Cl)c(Cl)c2c3c(Cl)c(cc2)Cl)Cl)c2c(c1)c1c(cc2Cl)cc(c(c1Cl)Cl)Cl,707.309,5,26,11,-108.350621262648,-108.098829861086,0.000324419136,-108.195555426429,10.449725302907,10.297076093305,0.001907818948,9.728259872657,0.217727155969,-10.6071,-8.9289,1.678154796253,1.313,404.24464,0.195,0.028,0.478,0.004020502,0.001116624,0.001025782,-6055.526578696282,-6055.2687012826,0.0003075979,-6055.3604115835,8.148675825905,7.9899385918,0.0020512235,7.3783660094,0.2251557861,-5.6227,-3.6833,1.9394,1.42269,552.40578,0.22203,-0.00917,0.51372,0.003968,0.001099,0.001029,-6056.974704277868,-6056.7168268642,0.0003075979,-6056.8085371651,8.08111135343,7.9223741198,0.0020512235,7.3108015379,0.2251557861,-8.1398,-1.4347,6.7051,1.48985,505.14321,0.15002,-0.02237,0.56617,0.003968,0.001099,0.001029
